food_id,canonical_name,entity_type,state,country_region,cuisine,primary_source_id,primary_source_record_id,data_status
GF-ING-00141,"Onion, stalk",ingredient,unspecified,India,,SRC-IFCT2017,D058,source_mapped
GF-ING-00142,"Papaya, raw",ingredient,raw,India,,SRC-IFCT2017,D059,source_mapped
GF-ING-00143,Parwar,ingredient,unspecified,India,,SRC-IFCT2017,D060,source_mapped
GF-ING-00144,"Peas, fresh",ingredient,fresh,India,,SRC-IFCT2017,D061,source_mapped
GF-ING-00145,"Plantain, flower",ingredient,unspecified,India,,SRC-IFCT2017,D062,source_mapped
GF-ING-00146,"Plantain, green",ingredient,unspecified,India,,SRC-IFCT2017,D063,source_mapped
GF-ING-00147,"Plantain, stem",ingredient,unspecified,India,,SRC-IFCT2017,D064,source_mapped
GF-ING-00148,"Pumpkin, green, cylindrical",ingredient,unspecified,India,,SRC-IFCT2017,D065,source_mapped
GF-ING-00149,"Pumpkin, orange, round",ingredient,unspecified,India,,SRC-IFCT2017,D066,source_mapped
GF-ING-00150,"Red gram, tender, fresh",ingredient,fresh,India,,SRC-IFCT2017,D067,source_mapped
GF-ING-00151,Ridge gourd,ingredient,unspecified,India,,SRC-IFCT2017,D068,source_mapped
GF-ING-00152,"Ridge gourd, smooth skin",ingredient,unspecified,India,,SRC-IFCT2017,D069,source_mapped
GF-ING-00153,"Snake gourd, long, pale green",ingredient,unspecified,India,,SRC-IFCT2017,D070,source_mapped
GF-ING-00154,"Snake gourd, long, dark green",ingredient,unspecified,India,,SRC-IFCT2017,D071,source_mapped
GF-ING-00155,"Snake gourd, short",ingredient,unspecified,India,,SRC-IFCT2017,D072,source_mapped
GF-ING-00156,"Tinda, tender",ingredient,unspecified,India,,SRC-IFCT2017,D073,source_mapped
GF-ING-00157,"Tomato, green",ingredient,unspecified,India,,SRC-IFCT2017,D074,source_mapped
GF-ING-00158,"Tomato, ripe, hybrid",ingredient,unspecified,India,,SRC-IFCT2017,D075,source_mapped
GF-ING-00159,"Tomato, ripe, local",ingredient,unspecified,India,,SRC-IFCT2017,D076,source_mapped
GF-ING-00160,"Zucchini, green",ingredient,unspecified,India,,SRC-IFCT2017,D077,source_mapped
GF-ING-00161,"Zucchini, yellow",ingredient,unspecified,India,,SRC-IFCT2017,D078,source_mapped
GF-ING-00162,"Apple, big",ingredient,unspecified,India,,SRC-IFCT2017,E001,source_mapped
GF-ING-00163,"Apple, green",ingredient,unspecified,India,,SRC-IFCT2017,E002,source_mapped
GF-ING-00164,"Apple, small",ingredient,unspecified,India,,SRC-IFCT2017,E003,source_mapped
GF-ING-00165,"Apple, small, Kashmir",ingredient,unspecified,India,,SRC-IFCT2017,E004,source_mapped
GF-ING-00166,"Apricot, dried",ingredient,dried,India,,SRC-IFCT2017,E005,source_mapped
GF-ING-00167,"Apricot, processed",ingredient,unspecified,India,,SRC-IFCT2017,E006,source_mapped
GF-ING-00168,Avocado fruit,ingredient,unspecified,India,,SRC-IFCT2017,E007,source_mapped
GF-ING-00169,Bael fruit,ingredient,unspecified,India,,SRC-IFCT2017,E008,source_mapped
GF-ING-00170,"Banana, ripe, montham",ingredient,unspecified,India,,SRC-IFCT2017,E009,source_mapped
GF-ING-00171,"Banana, ripe, poovam",ingredient,unspecified,India,,SRC-IFCT2017,E010,source_mapped
GF-ING-00172,"Banana, ripe, red",ingredient,unspecified,India,,SRC-IFCT2017,E011,source_mapped
GF-ING-00173,"Banana, ripe, robusta",ingredient,unspecified,India,,SRC-IFCT2017,E012,source_mapped
GF-ING-00174,Black berry,ingredient,unspecified,India,,SRC-IFCT2017,E013,source_mapped
GF-ING-00175,"Cherries, red",ingredient,unspecified,India,,SRC-IFCT2017,E014,source_mapped
GF-ING-00176,"Currants, black",ingredient,unspecified,India,,SRC-IFCT2017,E015,source_mapped
GF-ING-00177,Custard apple,ingredient,unspecified,India,,SRC-IFCT2017,E016,source_mapped
GF-ING-00178,"Dates, dry, pale brown",ingredient,unspecified,India,,SRC-IFCT2017,E017,source_mapped
GF-ING-00179,"Dates, dry, dark brown",ingredient,unspecified,India,,SRC-IFCT2017,E018,source_mapped
GF-ING-00180,"Dates, processed",ingredient,unspecified,India,,SRC-IFCT2017,E019,source_mapped
GF-ING-00181,Fig,ingredient,unspecified,India,,SRC-IFCT2017,E020,source_mapped
GF-ING-00182,Goosberry,ingredient,unspecified,India,,SRC-IFCT2017,E021,source_mapped
GF-ING-00183,"Grapes, seeded, round, black",ingredient,unspecified,India,,SRC-IFCT2017,E022,source_mapped
GF-ING-00184,"Grapes, seeded, round, green",ingredient,unspecified,India,,SRC-IFCT2017,E023,source_mapped
GF-ING-00185,"Grapes, seeded, round, red",ingredient,unspecified,India,,SRC-IFCT2017,E024,source_mapped
GF-ING-00186,"Grapes, seedless, oval, black",ingredient,unspecified,India,,SRC-IFCT2017,E025,source_mapped
GF-ING-00187,"Grapes, seedless, round, green",ingredient,unspecified,India,,SRC-IFCT2017,E026,source_mapped
GF-ING-00188,"Grapes, seedless, round, black",ingredient,unspecified,India,,SRC-IFCT2017,E027,source_mapped
GF-ING-00189,"Guava, white flesh",ingredient,unspecified,India,,SRC-IFCT2017,E028,source_mapped
GF-ING-00190,"Guava, pink flesh",ingredient,unspecified,India,,SRC-IFCT2017,E029,source_mapped
GF-ING-00191,"Jack fruit, ripe",ingredient,unspecified,India,,SRC-IFCT2017,E030,source_mapped
GF-ING-00192,"Jambu fruit, ripe",ingredient,unspecified,India,,SRC-IFCT2017,E031,source_mapped
GF-ING-00193,Karonda fruit,ingredient,unspecified,India,,SRC-IFCT2017,E032,source_mapped
GF-ING-00194,"Lemon, juice",ingredient,unspecified,India,,SRC-IFCT2017,E033,source_mapped
GF-ING-00195,"Lime, sweet, pulp",ingredient,unspecified,India,,SRC-IFCT2017,E034,source_mapped
GF-ING-00196,Litchi,ingredient,unspecified,India,,SRC-IFCT2017,E035,source_mapped
GF-ING-00197,"Mango, ripe, banganapalli",ingredient,unspecified,India,,SRC-IFCT2017,E036,source_mapped
GF-ING-00198,"Mango, ripe, gulabkhas",ingredient,unspecified,India,,SRC-IFCT2017,E037,source_mapped
GF-ING-00199,"Mango, ripe, himsagar",ingredient,unspecified,India,,SRC-IFCT2017,E038,source_mapped
GF-ING-00200,"Mango, ripe, kesar",ingredient,unspecified,India,,SRC-IFCT2017,E039,source_mapped
GF-ING-00201,"Mango, ripe, neelam",ingredient,unspecified,India,,SRC-IFCT2017,E040,source_mapped
GF-ING-00202,"Mango, ripe, paheri",ingredient,unspecified,India,,SRC-IFCT2017,E041,source_mapped
GF-ING-00203,"Mango, ripe, totapari",ingredient,unspecified,India,,SRC-IFCT2017,E042,source_mapped
GF-ING-00204,Mangosteen,ingredient,unspecified,India,,SRC-IFCT2017,E043,source_mapped
GF-ING-00205,Manila tamarind,ingredient,unspecified,India,,SRC-IFCT2017,E044,source_mapped
GF-ING-00206,"Musk melon, orange flesh",ingredient,unspecified,India,,SRC-IFCT2017,E045,source_mapped
GF-ING-00207,"Musk melon, yellow flesh",ingredient,unspecified,India,,SRC-IFCT2017,E046,source_mapped
GF-ING-00208,"Orange, pulp",ingredient,unspecified,India,,SRC-IFCT2017,E047,source_mapped
GF-ING-00209,"Palm fruit, tender",ingredient,unspecified,India,,SRC-IFCT2017,E048,source_mapped
GF-ING-00210,"Papaya, ripe",ingredient,unspecified,India,,SRC-IFCT2017,E049,source_mapped
GF-ING-00211,Peach,ingredient,unspecified,India,,SRC-IFCT2017,E050,source_mapped
GF-ING-00212,Pear,ingredient,unspecified,India,,SRC-IFCT2017,E051,source_mapped
GF-ING-00213,Phalsa,ingredient,unspecified,India,,SRC-IFCT2017,E052,source_mapped
GF-ING-00214,Pineapple,ingredient,unspecified,India,,SRC-IFCT2017,E053,source_mapped
GF-ING-00215,Plum,ingredient,unspecified,India,,SRC-IFCT2017,E054,source_mapped
GF-ING-00216,"Pomegranate, maroon seeds",ingredient,unspecified,India,,SRC-IFCT2017,E055,source_mapped
GF-ING-00217,Pummelo,ingredient,unspecified,India,,SRC-IFCT2017,E056,source_mapped
GF-ING-00218,"Raisins, dried, black",ingredient,dried,India,,SRC-IFCT2017,E057,source_mapped
GF-ING-00219,"Raisins, dried, golden",ingredient,dried,India,,SRC-IFCT2017,E058,source_mapped
GF-ING-00220,Rambutan,ingredient,unspecified,India,,SRC-IFCT2017,E059,source_mapped
GF-ING-00221,Sapota,ingredient,unspecified,India,,SRC-IFCT2017,E060,source_mapped
GF-ING-00222,Soursop,ingredient,unspecified,India,,SRC-IFCT2017,E061,source_mapped
GF-ING-00223,Star fruit,ingredient,unspecified,India,,SRC-IFCT2017,E062,source_mapped
GF-ING-00224,Strawberry,ingredient,raw,India,,SRC-IFCT2017,E063,source_mapped
GF-ING-00225,"Tamarind, pulp",ingredient,unspecified,India,,SRC-IFCT2017,E064,source_mapped
GF-ING-00226,"Water melon, dark green (sugar baby)",ingredient,unspecified,India,,SRC-IFCT2017,E065,source_mapped
GF-ING-00227,"Water melon, pale green",ingredient,unspecified,India,,SRC-IFCT2017,E066,source_mapped
GF-ING-00228,Wood apple,ingredient,unspecified,India,,SRC-IFCT2017,E067,source_mapped
GF-ING-00229,Zizyphus,ingredient,unspecified,India,,SRC-IFCT2017,E068,source_mapped
GF-ING-00230,Beetroot,ingredient,unspecified,India,,SRC-IFCT2017,F001,source_mapped
GF-ING-00231,"Carrot, orange",ingredient,unspecified,India,,SRC-IFCT2017,F002,source_mapped
GF-ING-00232,"Carrot, red",ingredient,unspecified,India,,SRC-IFCT2017,F003,source_mapped
GF-ING-00233,Colocasia,ingredient,unspecified,India,,SRC-IFCT2017,F004,source_mapped
GF-ING-00234,Lotus root,ingredient,unspecified,India,,SRC-IFCT2017,F005,source_mapped
GF-ING-00235,"Potato, brown skin, big",ingredient,unspecified,India,,SRC-IFCT2017,F006,source_mapped
GF-ING-00236,"Potato, brown skin, small",ingredient,unspecified,India,,SRC-IFCT2017,F007,source_mapped
GF-ING-00237,"Potato, red skin",ingredient,unspecified,India,,SRC-IFCT2017,F008,source_mapped
GF-ING-00238,"Radish, elongate, red skin",ingredient,unspecified,India,,SRC-IFCT2017,F009,source_mapped
GF-ING-00239,"Radish, elongate, white skin",ingredient,unspecified,India,,SRC-IFCT2017,F010,source_mapped
GF-ING-00240,"Radish, round, red skin",ingredient,unspecified,India,,SRC-IFCT2017,F011,source_mapped
GF-ING-00241,"Radish, round, white skin",ingredient,unspecified,India,,SRC-IFCT2017,F012,source_mapped
GF-ING-00242,"Sweet potato, brown skin",ingredient,unspecified,India,,SRC-IFCT2017,F013,source_mapped
GF-ING-00243,"Sweet potato, pink skin",ingredient,unspecified,India,,SRC-IFCT2017,F014,source_mapped
GF-ING-00244,Tapioca,ingredient,unspecified,India,,SRC-IFCT2017,F015,source_mapped
