food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00172,ASC177,Brinjal bhartha (Baingan ka bhartha),asc_manual,SRC-INDB,ASC177
GF-REC-00173,ASC178,Dry potato (Sookhe aloo),asc_manual,SRC-INDB,ASC178
GF-REC-00174,ASC179,Beans with coconut (Nariyal aur sem/phali; Beans thoran),asc_manual,SRC-INDB,ASC179
GF-REC-00175,ASC180,Cauliflower with coconut (Nariyal ke saath phoolgobhi),asc_manual,SRC-INDB,ASC180
GF-REC-00176,ASC181,Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),asc_manual,SRC-INDB,ASC181
GF-REC-00177,ASC182,Raw turnip with coconut ,asc_manual,SRC-INDB,ASC182
GF-REC-00178,ASC183,Raw papaya with coconut (Papaya thoran),asc_manual,SRC-INDB,ASC183
GF-REC-00179,ASC184,Stuffed okra (Bharwa bhindi),asc_manual,SRC-INDB,ASC184
GF-REC-00180,ASC185,Stuffed round gourd (Bharwa tinde),asc_manual,SRC-INDB,ASC185
GF-REC-00181,ASC186,Stuffed capsicum (Bharwa shimla mirch),asc_manual,SRC-INDB,ASC186
GF-REC-00182,ASC187,Stuffed brinjal (Bharwa baingan),asc_manual,SRC-INDB,ASC187
GF-REC-00183,ASC189,Stuffed tomatoes (Bharwa tamatar),asc_manual,SRC-INDB,ASC189
GF-REC-00184,ASC190,Pea potato curry (Aloo matar),asc_manual,SRC-INDB,ASC190
GF-REC-00185,ASC191,Pea paneer curry (Matar paneer),asc_manual,SRC-INDB,ASC191
GF-REC-00186,ASC192,Pea mushroom curry (Matar mushroom),asc_manual,SRC-INDB,ASC192
GF-REC-00187,ASC193,Pea curry (Matar ki sabzi),asc_manual,SRC-INDB,ASC193
GF-REC-00188,ASC194,Pea vadi curry,asc_manual,SRC-INDB,ASC194
GF-REC-00189,ASC195,Paneer curry,asc_manual,SRC-INDB,ASC195
GF-REC-00190,ASC196,Lotus stem curry (Kamal kakdi curry),asc_manual,SRC-INDB,ASC196
GF-REC-00191,ASC197,Gravy for kofta,asc_manual,SRC-INDB,ASC197
GF-REC-00192,ASC198,Pea kofta curry (Matar kofta curry),asc_manual,SRC-INDB,ASC198
GF-REC-00193,ASC199,Spinach kofta curry (Palak kofta curry),asc_manual,SRC-INDB,ASC199
GF-REC-00194,ASC200,Paneer kofta curry,asc_manual,SRC-INDB,ASC200
GF-REC-00195,ASC201,Lotus stem kofta curry (Kamal kakdi kofta curry),asc_manual,SRC-INDB,ASC201
GF-REC-00196,ASC202,Raw banana kofta curry (Kela kofta curry),asc_manual,SRC-INDB,ASC202
GF-REC-00197,ASC203,Cauliflower kofta curry (Phoolgobhi kofta curry),asc_manual,SRC-INDB,ASC203
GF-REC-00198,ASC204,Cabbage kofta curry (Pattagobhi kofta curry),asc_manual,SRC-INDB,ASC204
GF-REC-00199,ASC205,Ghiya/Lauki Kofta Curry,asc_manual,SRC-INDB,ASC205
GF-REC-00200,ASC206,Spinach paneer kofta curry (Palak paneer kofta curry),asc_manual,SRC-INDB,ASC206
GF-REC-00201,ASC207,Vegetarian egg kofta curry,asc_manual,SRC-INDB,ASC207
GF-REC-00202,ASC208,Baked vegetables,asc_manual,SRC-INDB,ASC208
GF-REC-00203,ASC209,Cauliflower musallam (Phoolgobhi musallam),asc_manual,SRC-INDB,ASC209
GF-REC-00204,ASC210,Baked vegetables with spinach ,asc_manual,SRC-INDB,ASC210
GF-REC-00205,ASC211,Baked potato with skin ,asc_manual,SRC-INDB,ASC211
GF-REC-00206,ASC212,Shepherd's pie (vegetarian),asc_manual,SRC-INDB,ASC212
GF-REC-00207,ASC213,Baked brinjal in tomato sauce,asc_manual,SRC-INDB,ASC213
GF-REC-00208,ASC214,Dum aloo,asc_manual,SRC-INDB,ASC214
GF-REC-00209,ASC215,Spinach paneer (Palak paneer),asc_manual,SRC-INDB,ASC215
GF-REC-00210,ASC216,Methi chaman,asc_manual,SRC-INDB,ASC216
GF-REC-00211,ASC217,Sarson ka saag,asc_manual,SRC-INDB,ASC217
GF-REC-00212,ASC218,Jackfruit sabzi (Kathal ki sabzi),asc_manual,SRC-INDB,ASC218
GF-REC-00213,ASC219,Avial,asc_manual,SRC-INDB,ASC219
GF-REC-00214,ASC220,Al yakhani,asc_manual,SRC-INDB,ASC220
GF-REC-00215,ASC221,Shahi paneer,asc_manual,SRC-INDB,ASC221
GF-REC-00216,ASC222,Paneer in butter sauce,asc_manual,SRC-INDB,ASC222
GF-REC-00217,ASC223,Methi malai paneer,asc_manual,SRC-INDB,ASC223
GF-REC-00218,ASC224,Chilli paneer,asc_manual,SRC-INDB,ASC224
GF-REC-00219,ASC225,Paneer makhana korma,asc_manual,SRC-INDB,ASC225
GF-REC-00220,ASC226,Kadhai Paneer,asc_manual,SRC-INDB,ASC226
GF-REC-00221,ASC227,Roghan josh,asc_manual,SRC-INDB,ASC227
GF-REC-00222,ASC228,Spinach mutton (Palak mutton),asc_manual,SRC-INDB,ASC228
GF-REC-00223,ASC229,Pea keema curry (Matar keema ki sabzi),asc_manual,SRC-INDB,ASC229
GF-REC-00224,ASC230,Keema kofta curry,asc_manual,SRC-INDB,ASC230
GF-REC-00225,ASC231,Kashmiri mutton koftas (Gushtaba),asc_manual,SRC-INDB,ASC231
GF-REC-00226,ASC232,Mutton yakhni,asc_manual,SRC-INDB,ASC232
GF-REC-00227,ASC233,Chicken yakhni,asc_manual,SRC-INDB,ASC233
GF-REC-00228,ASC234,Mutton do piaza,asc_manual,SRC-INDB,ASC234
GF-REC-00229,ASC236,Mutton chops,asc_manual,SRC-INDB,ASC236
GF-REC-00230,ASC237,Shammi kebab,asc_manual,SRC-INDB,ASC237
GF-REC-00231,ASC238,Scotch egg,asc_manual,SRC-INDB,ASC238
GF-REC-00232,ASC240,Chicken curry,asc_manual,SRC-INDB,ASC240
GF-REC-00233,ASC241,Tandoori chicken,asc_manual,SRC-INDB,ASC241
GF-REC-00234,ASC242,Butter chicken,asc_manual,SRC-INDB,ASC242
GF-REC-00235,ASC243,Chicken kebab,asc_manual,SRC-INDB,ASC243
GF-REC-00236,ASC244,Chilli chicken,asc_manual,SRC-INDB,ASC244
GF-REC-00237,ASC245,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),asc_manual,SRC-INDB,ASC245
GF-REC-00238,ASC246,Fish curry (Machli curry),asc_manual,SRC-INDB,ASC246
GF-REC-00239,ASC247,Fried fish (Indian style) (Tali hui machli),asc_manual,SRC-INDB,ASC247
