food_id,canonical_name,source_id,source_record_id,usage_status,reason
GF-ING-00066,Cauliflower leaves,SRC-IFCT2017,C017,usable_source_value,India-first primary source.
GF-ING-00067,"Colocasia leaves, green",SRC-IFCT2017,C018,usable_source_value,India-first primary source.
GF-ING-00068,Drumstick leaves,SRC-IFCT2017,C019,usable_source_value,India-first primary source.
GF-ING-00069,Fenugreek leaves,SRC-IFCT2017,C020,usable_source_value,India-first primary source.
GF-ING-00070,Garden cress,SRC-IFCT2017,C021,usable_source_value,India-first primary source.
GF-ING-00071,"Gogu leaves, green stem",SRC-IFCT2017,C022,usable_source_value,India-first primary source.
GF-ING-00072,"Gogu leaves, red stem",SRC-IFCT2017,C023,usable_source_value,India-first primary source.
GF-ING-00073,"Knol-Khol, leaves",SRC-IFCT2017,C024,usable_source_value,India-first primary source.
GF-ING-00074,Lettuce,SRC-IFCT2017,C025,usable_source_value,India-first primary source.
GF-ING-00075,Mustard leaves,SRC-IFCT2017,C026,usable_source_value,India-first primary source.
GF-ING-00076,Pak Choi leaves,SRC-IFCT2017,C027,usable_source_value,India-first primary source.
GF-ING-00077,Parsley,SRC-IFCT2017,C028,usable_source_value,India-first primary source.
GF-ING-00078,Ponnaganni,SRC-IFCT2017,C029,usable_source_value,India-first primary source.
GF-ING-00079,"Pumpkin leaves, tender",SRC-IFCT2017,C030,usable_source_value,India-first primary source.
GF-ING-00080,Radish leaves,SRC-IFCT2017,C031,usable_source_value,India-first primary source.
GF-ING-00081,Rumex leaves,SRC-IFCT2017,C032,usable_source_value,India-first primary source.
GF-ING-00082,Spinach,SRC-IFCT2017,C033,usable_source_value,India-first primary source.
GF-ING-00083,"Tamarind leaves, tender",SRC-IFCT2017,C034,usable_source_value,India-first primary source.
GF-ING-00084,Ash gourd,SRC-IFCT2017,D001,usable_source_value,India-first primary source.
GF-ING-00085,"Bamboo shoot, tender",SRC-IFCT2017,D002,usable_source_value,India-first primary source.
GF-ING-00086,"Bean scarlet, tender",SRC-IFCT2017,D003,usable_source_value,India-first primary source.
GF-ING-00087,"Bitter gourd, jagged, teeth ridges, elongate",SRC-IFCT2017,D004,usable_source_value,India-first primary source.
GF-ING-00088,"Bitter gourd, jagged, teeth ridges, short",SRC-IFCT2017,D005,usable_source_value,India-first primary source.
GF-ING-00089,"Bitter gourd, jagged, smooth ridges, elongate",SRC-IFCT2017,D006,usable_source_value,India-first primary source.
